料理名,カテゴリー,材料
ハンバーグ,主菜1,"合挽肉,1/玉ねぎ,1"
生姜焼き,主菜1,"豚肉,1/生姜,1"
カレー,主菜1,"豚肉,1/玉ねぎ,1"
肉じゃが,主菜1,"牛肉,1/じゃがいも,2"
焼き魚,主菜1,"魚,1"
刺身,主菜2,"刺身,1"
唐揚げ,主菜2,"鶏肉,1"
ステーキ,主菜2,"牛肉,1"
餃子,主菜2,"豚ひき肉,1/キャベツ,1"
麻婆豆腐,主菜2,"豆腐,1/ひき肉,1"
冷奴,副菜1,"豆腐,1/ネギ,1"
ポテトサラダ,副菜1,"じゃがいも,2"
ひじき煮,副菜1,"ひじき,1"
きんぴらごぼう,副菜1,"ごぼう,1"
ほうれん草お浸し,副菜1,"ほうれん草,1"
ナムル,副菜2,"もやし,1"
冷やしトマト,副菜2,"トマト,1"
厚揚げ焼き,副菜2,"厚揚げ,1"
大根サラダ,副菜2,"大根,1"
枝豆,副菜2,"枝豆,1"
味噌汁,汁物,"豆腐,1/味噌,1"
豚汁,汁物,"豚肉,1/大根,1"
わかめスープ,汁物,"わかめ,1"
なめこ汁,汁物,"なめこ,1"
卵スープ,汁物,"卵,1"
